,dataset,solver,scheduler,cacher_quantizer,SEC_PER_IMG,TFLOPS,bits_per_weight,FID,IS,CLIP,nfe
85,COCO,DPMSORIG,KARRAS,NONE,1.7706439724471421,203.367867820869,,20.81035041809082,38.90985107421875,33.76728057861328,17
86,COCO,DPMSORIG,DDIM,NONE,1.8821600828319789,83.804407493159,,37.49890899658203,24.79035186767578,33.03821563720703,7
87,COCO,DPMSORIG,AYS,NONE,1.7407461671065538,203.367867820869,,19.96208953857422,38.87535858154297,33.75153350830078,17
88,COCO,DPMSORIG,LINEAR,NONE,1.7586273911315948,203.367867820869,,20.83351707458496,37.01520538330078,33.91534423828125,17
89,COCO,DPMSORIG,DDIM,NONE,2.6097767373546956,119.673445591472,,27.725757598876953,29.91696548461914,33.615901947021484,10
90,COCO,DPMSORIG,KARRAS,NONE,1.879304697457701,83.804407493159,,21.806276321411133,35.131866455078125,33.34473419189453,7
91,COCO,DPMSORIG,SNR,NONE,1.8604205466993153,83.804407493159,,23.733171463012695,34.310523986816406,32.949806213378906,7
92,COCO,DPMSORIG,SNR,NONE,1.3307855591923,59.891715427617,,46.7672233581543,24.429880142211914,31.62091827392578,5
93,COCO,DPMSORIG,DDIM,NONE,1.3112440675869583,59.891715427617,,64.53279113769531,18.5612735748291,31.155115127563477,5
94,COCO,DPMSORIG,LINEAR,NONE,1.3593119782581926,59.891715427617,,25.03588104248047,31.241390228271484,33.61979675292969,5
95,COCO,DPMSORIG,KARRAS,NONE,1.0693275421857833,119.673445591472,,20.291000366210938,38.147071838378906,33.65685272216797,10
96,COCO,DPMSORIG,LINEAR,NONE,1.0262614291161298,119.673445591472,,21.252147674560547,35.191925048828125,33.968990325927734,10
97,COCO,DPMSORIG,AYS,NONE,1.0279770525544882,119.673445591472,,19.665388107299805,38.289833068847656,33.58000946044922,10
98,COCO,DPMSORIG,DDIM,NONE,1.7516819074377417,203.367867820869,,23.483959197998047,34.74380874633789,33.72534942626953,17
99,COCO,DPMSORIG,SNR,NONE,1.738817391935736,203.367867820869,,20.377052307128906,38.91584014892578,33.701683044433594,17
100,COCO,DPMSORIG,SNR,NONE,1.0304843895509839,119.673445591472,,20.315778732299805,37.7667121887207,33.46737289428711,10
101,COCO,DPMSORIG,DDIM,NONE,2.526874342113733,299.018636083037,,21.518688201904297,36.70623016357422,33.81315994262695,25
102,COCO,DPMSORIG,LINEAR,NONE,2.545939882956445,299.018636083037,,20.548717498779297,38.33431625366211,33.89957809448242,25
103,COCO,UNIPC,KARRAS,NONE,6.51658789832145,299.018637656326,,21.733118057250977,39.047611236572266,33.74300003051758,25
104,COCO,UNIPC,SNR,NONE,2.5933914462663235,299.018637656326,,21.525466918945312,38.92625427246094,33.73566436767578,25
105,COCO,UNIPC,LINEAR,NONE,6.670450493581593,299.018637656326,,22.11623764038086,38.149417877197266,33.75443649291992,25
106,COCO,UNIPC,AYS,NONE,6.710346202105284,299.018637656326,,22.01081657409668,37.800079345703125,33.739864349365234,25
107,COCO,UNIPC,DDIM,NONE,6.635187422595918,299.018637656326,,21.056358337402344,37.28705596923828,33.687095642089844,25
108,COCO,DPMS,SNR,NONE,6.559096693210304,299.018636083029,,21.198728561401367,39.11125564575195,33.74770736694336,25
109,COCO,DPMS,KARRAS,NONE,6.603935351371765,299.018636083029,,21.577329635620117,39.225303649902344,33.74527359008789,25
110,COCO,DPMS,LINEAR,NONE,6.695370072051883,299.018636083029,,21.79073715209961,38.29121780395508,33.756866455078125,25
111,COCO,DPMS,AYS,NONE,6.634824711680412,299.018636083029,,21.542875289916992,38.56283950805664,33.75752258300781,25
112,COCO,UNIPC,SNR,NONE,4.513956876546144,203.367868869726,,21.05099868774414,38.54914474487305,33.674888610839844,17
113,COCO,UNIPC,KARRAS,NONE,4.601678378088399,203.367868869726,,21.433048248291016,38.894248962402344,33.72844314575195,17
